"run","MSE","NLPD","Coverage","Width","Time"
1,0.0248998953860079,-0.989357037147271,0.88,0.258219190670361,5.6805188
2,0.00643937866078536,-1.54175319944706,0.99,0.259205262456783,4.8931737
3,0.0204480526333797,-1.00802714705766,0.91,0.279424063880225,6.0896654
4,0.0142500246111879,-0.508644325124894,0.8,0.267274799770822,4.7230074
5,0.0325831710280073,-0.580760685878171,0.87,0.329006979931706,4.246189
6,0.0132734745335832,-1.29135629918863,0.92,0.250489548239721,3.0195788
7,0.00846656888698087,-0.691122127189533,0.7,0.242050423107992,4.1213249
8,0.00875843944866404,-1.17509680884033,0.94,0.295576660953965,5.0216853
9,0.0185104788683655,-1.00088132242383,0.95,0.322451031221447,3.4615919
10,0.0229803164851555,-0.734067266898508,0.84,0.301887518794601,3.4834692
11,0.0174822201387943,-1.16656580999557,0.92,0.265192260452709,4.728261
12,0.0126235410654617,-1.02935951537514,0.86,0.257835466023933,2.9426074
13,0.0140872794010898,-1.23946545144552,0.98,0.343275221086548,6.9589207
14,0.0106166227636843,-0.96757264059191,0.9,0.279126237066992,4.0629014
15,0.0174604994209512,-1.05669072999161,0.93,0.293869850891106,4.0830806
16,0.0105896701531675,-1.30460273236149,0.98,0.282776792854021,4.1447564
17,0.0260935409260314,-0.751002076727213,0.78,0.295930167722861,3.0982461
18,0.0160347559571145,-1.29306968928688,0.94,0.276748670651446,4.2278552
19,0.0100282298411217,-1.07982174722394,0.87,0.222760340738908,3.5827413
20,0.0132778977706992,-0.437935935328809,0.72,0.247358392631599,4.8500052
21,0.0120418262038925,-0.909866210500151,0.86,0.272234502554299,4.7535531
22,0.016521761304426,-0.425597553765622,0.79,0.315599712410258,4.7207788
23,0.00900759003016038,-1.3590604977119,0.93,0.246623897604764,4.2117463
24,0.0205396930563377,-1.10840186039896,0.95,0.320207483139022,4.2148694
25,0.0283067212318826,-0.939041224054044,0.92,0.304474309920685,4.2313086
