"run","MSE","NLPD","Coverage","Width","Time"
1,0.031047599576336,0.795439442432746,0.58,0.257452343471603,5.8633091
2,0.0112357053369387,-1.05458997108893,0.88,0.292797481977957,2.6489489
3,0.0153243410504904,-0.530565874404609,0.78,0.235267448159893,2.6862915
4,0.00304649450581828,-1.39575401448501,1,0.247611959617946,1.0922525
5,0.00313119020943279,-1.4817635896388,1,0.260417185211215,1.5077333
6,0.011453040969504,-0.47760988531079,0.76,0.270912673404539,1.5045035
7,0.00779108773711611,-1.14448487116602,0.88,0.291804879600519,1.0677988
8,0.0116015886741787,-0.865057641542536,0.84,0.25208419226092,2.1859157
9,0.00460442989794024,-1.33451056534693,1,0.284193809509352,2.6759411
10,0.0110764473416353,-0.926671455570382,0.82,0.319091030298078,1.3438027
11,0.00899043782901539,-0.527299266338128,0.74,0.246497883545982,3.84477
12,0.00259001970766652,-1.39350817188626,1,0.328034386105769,1.5228661
13,0.01157351013611,-0.652702087804041,0.79,0.260899982169754,1.5612516
14,0.00650815702406496,-1.20966875042355,1,0.29878530713081,1.0513866
15,0.00733719039246296,-1.16174233187287,0.95,0.30906186354686,3.8095321
16,0.00135012495335642,-1.72376014048006,1,0.246160962391919,2.1221533
17,0.00710913444978818,-0.951265946272435,0.88,0.265603802679054,3.235539
18,0.00703846696080942,-0.961608933116788,0.87,0.263070503728981,3.276874
19,0.0245587256756306,1.03308264386211,0.37,0.244477859937809,3.813457
20,0.00504895746941455,-1.14893957501654,0.93,0.266755556193462,1.4967475
21,0.0111672971083412,-0.808556090231793,0.89,0.262393375509621,2.0822409
22,0.0136635897292238,-0.521506364041207,0.79,0.245189424877631,2.0875644
23,0.00496442280954421,-1.26729369370629,1,0.261566696741417,2.106465
24,0.0145849622609662,-0.710922038324473,0.82,0.269782795691494,1.5231357
25,0.00781420123312523,-1.01272265728072,1,0.338380767576716,1.0338004
