"run","MSE","NLPD","Coverage","Width","Time"
1,0.070484521045186,0.382848883920983,0.71,0.708769547602511,1.5469951
2,0.080393467321134,0.89282786988326,0.57,0.594832275952067,1.5173161
3,0.0595461708104427,0.271825437030492,0.8,0.614339687206372,2.6153414
4,0.0327454389079704,-0.213875410905562,0.91,0.660338289774123,4.2958048
5,0.0775319387081522,0.503812570565942,0.8,0.714641119877732,2.050403
6,0.0567527155825114,0.228193273018339,0.84,0.689935082233706,2.5679145
7,0.0798228994886184,0.618702183112662,0.77,0.654644261268774,2.0082024
8,0.0697252972813918,0.142637853471862,0.85,0.807332818148424,3.1132101
9,0.0591528584089843,0.599477197660425,0.7,0.585207933443824,2.5649565
10,0.0841789757509411,0.493003148399895,0.76,0.662911220904455,2.0882807
11,0.0657671477188341,0.607202032385837,0.72,0.548144171831427,1.5343935
12,0.135008613190734,1.24019173972896,0.63,0.68041841708707,2.0363717
13,0.0626094812499703,0.27478916597319,0.84,0.659075810775984,2.5844325
14,0.0944781461771675,1.06072539505268,0.8,0.694674829150258,2.5990333
15,0.119172943140279,1.01272951610788,0.75,0.694599691394614,2.0371852
16,0.0535261677511526,0.260476898150276,0.81,0.652471695160217,2.6233689
17,0.0704181617049884,0.423756011763672,0.72,0.653544107959762,2.5458215
18,0.0518875064910457,0.796126553402032,0.65,0.491739721172773,2.5832916
19,0.070970998330608,0.465180000567192,0.71,0.605476482879147,1.5415696
20,0.102152059338101,0.634376799133743,0.84,0.772794202867114,2.0317684
21,0.0426961163032998,-0.0335858119421868,0.87,0.668362491287617,1.0129099
22,0.0578344302659925,0.405093644019136,0.85,0.627121530427412,2.6245421
23,0.0841342065852668,2.33170433131842,0.57,0.477320109688178,2.0421945
24,0.0747230590342782,0.522961177506512,0.81,0.649227089717159,2.5517397
25,0.124027319822609,1.09540101578382,0.73,0.639563285095816,2.5710318
