"metric","pair","test","p","effect","effect_name","p_holm"
"MSE","CGP vs BF","paired t",1.9403167284693e-36,-27.9161293545698,"Cohen_dz",5.82095018540789e-36
"MSE","SR vs BF","paired t",2.66140912864893e-34,-22.7338583544193,"Cohen_dz",5.32281825729787e-34
"MSE","CGP vs SR","paired t",1.08595578748476e-08,-1.6978788745744,"Cohen_dz",1.08595578748476e-08
"NLPD","CGP vs BF","paired t",1.5885161997278e-25,-9.75671981939952,"Cohen_dz",4.76554859918341e-25
"NLPD","SR vs BF","paired t",1.47949728246852e-22,-7.31086059507842,"Cohen_dz",2.95899456493705e-22
"NLPD","CGP vs SR","Wilcoxon signed-rank",3.03836940821921e-05,0.836804955731413,"rank_biserial_r",3.03836940821921e-05
"Coverage","SR vs BF","paired t",1.2676920139491e-18,4.96402971228231,"Cohen_dz",3.80307604184731e-18
"Coverage","CGP vs BF","paired t",1.38062436006452e-16,4.04611225465235,"Cohen_dz",2.76124872012904e-16
"Coverage","CGP vs SR","Wilcoxon signed-rank",0.061125208707207,0.43424024329402,"rank_biserial_r",0.061125208707207
"Width","SR vs BF","paired t",8.13723844362157e-24,-8.26526232461161,"Cohen_dz",2.44117153308647e-23
"Width","CGP vs BF","paired t",2.95249416946162e-23,-7.8271303065182,"Cohen_dz",5.90498833892324e-23
"Width","CGP vs SR","paired t",3.19654314360195e-05,-1.02075074136231,"Cohen_dz",3.19654314360195e-05
"Time","CGP vs SR","paired t",2.336293723546e-23,-7.90499546036213,"Cohen_dz",7.008881170638e-23
"Time","CGP vs BF","paired t",4.46769633676623e-18,4.70044452333159,"Cohen_dz",8.93539267353246e-18
"Time","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",1.30706054780131e-05
