"metric","pair","test","p","effect","effect_name","p_holm"
"MSE","CGP vs BF","paired t",2.10714159170135e-12,2.61304639779978,"Cohen_dz",6.32142477510404e-12
"MSE","SR vs BF","paired t",4.24138587793033e-09,1.78665462626658,"Cohen_dz",8.48277175586066e-09
"MSE","CGP vs SR","paired t",8.69142563719993e-05,0.941904772209693,"Cohen_dz",8.69142563719993e-05
"NLPD","SR vs BF","paired t",2.36336182116828e-09,1.84314536736952,"Cohen_dz",7.09008546350483e-09
"NLPD","CGP vs SR","Wilcoxon signed-rank",1.8841157194807e-05,0.858330485139295,"rank_biserial_r",2.61412109560261e-05
"NLPD","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",2.61412109560261e-05
"Coverage","CGP vs BF","paired t",3.09588311841781e-12,-2.56585007865616,"Cohen_dz",9.28764935525344e-12
"Coverage","SR vs BF","paired t",1.14019907493443e-07,-1.48584432749046,"Cohen_dz",2.28039814986885e-07
"Coverage","CGP vs SR","paired t",2.50019074579317e-06,-1.22524387600119,"Cohen_dz",2.50019074579317e-06
"Width","CGP vs BF","paired t",7.82565642337252e-08,-1.51890042888605,"Cohen_dz",2.34769692701176e-07
"Width","SR vs BF","Wilcoxon signed-rank",0.000572996156858652,0.691507632228209,"rank_biserial_r",0.0011459923137173
"Width","CGP vs SR","paired t",0.0425480705530659,-0.428399983181423,"Cohen_dz",0.0425480705530659
"Time","CGP vs SR","paired t",2.79198153465157e-35,-24.9769573371522,"Cohen_dz",8.3759446039547e-35
"Time","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",2.61412109560261e-05
"Time","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",2.61412109560261e-05
