"func","method","MSE_mean","MSE_sd","NLPD_mean","NLPD_sd","Coverage_mean","Coverage_sd","Width_mean","Width_sd","Time_mean","Time_sd"
"shrink","AGP",0.0320991202129479,0.0158190809153796,-0.377044740675968,0.312511657584544,0.9224,0.108023145667954,0.586205788325536,0.0632712651803583,0.184399999997113,0.0393785051377926
"sigmoid","AGP",0.0274206536106417,0.0139706632042711,-0.456660854320432,0.297608889515754,0.9092,0.109655521216824,0.542169206862159,0.0497417281824705,0.194400000011083,0.0909248774229604
"sine","AGP",0.593912448470821,0.118997112923222,4.06883995104311,0.71118757957635,0.3596,0.0325934553757857,1.03962663607166,0.117748147855171,0.225200000007171,0.0503421625865833
"shrink","BSAM",0.0779506284967367,0.0341963658884969,0.364724701159411,0.446701989786207,0.7708,0.107816201627276,0.65023788086853,0.0628713684927002,35.7159999999986,0.895260669682506
"sigmoid","BSAM",0.0219040493556802,0.0123322472268251,-0.566277896859657,0.47847790720129,0.9164,0.111873440398813,0.458841729544113,0.0564503169280767,134.207599999998,469.253016623939
"sine","BSAM",0.446609010821579,0.0871705309978429,3.83141496727357,1.17429755364913,0.4012,0.082981925742899,0.905148746893135,0.0848396355410767,35.3815999999968,2.34732415031234
"shrink","GP",0.053401819171399,0.0165137754297599,0.42352874821001,0.0989344243971752,1,0,2.21700562672222,0.25585044117432,0.0387999999918975,0.00971253485957442
"sigmoid","GP",0.0275465335403979,0.0149573261677693,0.336842798943847,0.0950496134399047,1,0,2.09667456706795,0.234263815315316,0.0575999999954365,0.0240277617183965
"sine","GP",0.322889411402161,0.225134719211217,0.841910743357393,0.352395856738238,1,0,2.94086079148981,0.670669517734098,0.0419999999925494,0.0141421356334719
"shrink","ISO",0.178790781917733,0.0509234835121266,5.31954571338418,2.15418557112412,0.5732,0.140378060963955,0.43643835317545,0.0610711920029189,0.00200000000186265,0.00577350269727325
"sigmoid","ISO",0.0535915829849901,0.0231288274416752,0.568996676110088,0.893828822542199,0.7848,0.103163300968255,0.479633249461561,0.0567123011635571,0.000799999998416752,0.00276887461549292
"sine","ISO",0.480778850215523,0.212417256993245,31.6546141696916,11.8041480963034,0.31,0.10291582320842,0.339190832180549,0.068152112376009,0.00119999999878928,0.00439696865199865
"shrink","MBART",0.239111561796841,0.157037657739237,1.09013311624642,0.70750381932353,0.8476,0.075844138424359,1.05764466979884,0.114148858709058,1.15519999999553,0.09430093672333
"sigmoid","MBART",0.0543388688768642,0.0348261554042945,-0.223878338762083,0.418564272534879,0.9336,0.0475114021402582,0.652689381840496,0.0593575528751313,1.36040000000736,0.417666932683072
"sine","MBART",0.266459387291551,0.139843806585606,0.892873828513581,0.501908085545229,0.8456,0.0817557337438788,1.4051974320445,0.19227516782114,1.23400000000373,0.12806248475293
"shrink","SCAM",0.0826018645660963,0.0663214943650218,-0.0108671234326337,0.390568912782225,0.8928,0.11706550872624,0.933998659350937,0.301643762132407,0.0844000000064261,0.0451921822180292
"sigmoid","SCAM",0.0796673781845177,0.266632316115165,-0.600885438302465,0.365768801698369,0.9596,0.0924878370381749,0.624027510008702,0.171256370777737,0.127199999999721,0.0630819572731171
"sine","SCAM",0.106237665790552,0.0833869202404124,0.0995343160522672,0.176168880325812,0.954,0.0501663898109747,1.14367385140294,0.182043453532449,0.100799999998417,0.0334065861719957
