"run","MSE","NLPD","Coverage","Width","Time"
1,0.0119401047036445,-0.711829369334992,1,0.457369219249493,2.0205817
2,0.0438792724959423,0.222865043423748,0.79,0.404508870868557,0.7144523
3,0.013025890811193,-0.800822412700923,0.86,0.425294774921399,1.4485748
4,0.0114145751679954,-0.809773623106206,1,0.560878045932046,3.0756673
5,0.00920337200384193,-0.88847678894655,1,0.546561442402815,1.4219704
6,0.0194829146462985,-0.698944725194524,1,0.522988717134819,1.0043657
7,0.0307040146105402,-0.680080445221449,0.92,0.47639927327448,0.9812522
8,0.0176951387129295,-0.651856158174995,1,0.606342188400611,1.9690589
9,0.0264510938039298,-0.442960089439463,0.91,0.480639120253136,0.980581
10,0.0435754784058056,-0.669460386500777,0.88,0.461839773553141,1.4801555
11,0.0473558039414067,-0.265846135092264,0.91,0.517760565781361,16.1484417
12,0.0434220854841351,-0.215778539711588,1,0.517379652682787,0.7173081
13,0.0352414656515306,-0.568989870090193,0.91,0.548473961729755,1.9955931
14,0.0160420030201551,-0.701680150515391,1,0.624028914740909,2.0217701
15,0.0306558849033363,-0.537761107282716,1,0.600109451764066,0.9917146
16,0.00856004285500976,-0.922416635158866,1,0.489775712528877,2.0178725
17,0.00304754423345978,-1.07336785416932,1,0.508491716172879,2.0218935
18,0.0420824216302875,-0.427726830267166,0.93,0.555271007436839,1.021069
19,0.0495253240262763,0.229155735658753,0.77,0.537676344941649,0.6871736
20,0.010287679902437,-0.709429212853737,1,0.656588378733235,4.9098977
21,0.0279700746435054,-0.699243889109702,0.95,0.478819986291496,1.4004634
22,0.00838887389387831,-0.860502833379041,1,0.506774844676185,2.5537992
23,0.00894610614792684,-0.832804277929141,1,0.360437887569954,2.0370271
24,0.00923953757747301,-0.963705417766187,1,0.469667864656006,1.4978266
25,0.0507042153312296,-0.374124285480836,0.94,0.681318415977374,8.9943159
