"run","MSE","NLPD","Coverage","Width","Time"
1,0.0386179034988889,-0.174984003496225,0.9,0.822233068216297,2.2122492
2,0.0484008738561772,0.0794334121355756,0.86,0.751319774755989,2.0534401
3,0.0575901345997319,-0.113408541083688,0.93,0.871528483261735,1.517163
4,0.0299033883850211,-0.35013086682031,1,0.848376758414976,2.0644367
5,0.04076134446189,-0.231897882961124,1,0.942238316158678,1.0204001
6,0.011985380469729,-0.544659209719689,1,0.803239988913642,2.144266
7,0.0306648098485034,-0.319970379508405,1,0.818729611389315,2.0668108
8,0.0168355532396334,-0.323572111682198,1,0.970282184743305,2.0813453
9,0.0654452087742434,-0.204629675207918,0.96,0.848595389651479,1.5270727
10,0.0609764429924724,-0.0258291651378527,0.86,0.881052999234117,1.0458931
11,0.0784880396813846,-0.0650630023094053,0.85,0.745987612685277,1.5771894
12,0.0743557484883351,-0.145415849800947,0.93,0.7782686143469,2.061499
13,0.0377307026484665,-0.260849319750836,0.95,0.827394954632324,1.4917674
14,0.0765592922402258,0.143176910191395,0.87,0.951680028521058,1.4852714
15,0.0783118269398797,0.128292915919027,0.97,1.07518274223474,1.0064366
16,0.0800854552834879,0.253991259143798,0.84,0.895248773540829,1.0401906
17,0.105537400550311,0.245213963737139,0.87,0.93512225212997,1.0280891
18,0.0436870988136678,-0.222470966214578,1,0.911240355008495,2.0937012
19,0.119253164517741,0.237110948861095,0.84,0.899101117608741,1.0542527
20,0.0644436607517651,-0.10040564160667,1,0.935564834935021,2.0195803
21,0.0451705060217011,-0.231903686722763,1,0.858841702650139,1.4982193
22,0.0567035000106673,-0.131494030863088,1,0.778607985549135,1.5133538
23,0.0829168563535169,0.523385509244574,0.81,0.657739427142495,1.4745437
24,0.0720836069313366,0.127020212594741,0.85,0.821588380501356,1.5047533
25,0.109308886783945,0.0910738150839747,0.92,0.983874336734555,2.0292309
