"run","MSE","NLPD","Coverage","Width","Time"
1,0.11927208790037,1.5801330230494,0.67,0.663431698360789,0.7468183
2,0.0901351847984162,0.798365947570938,0.7,0.624865174553263,1.4375452
3,0.123169183718016,2.45537886206797,0.65,0.547951363876517,0.766027
4,0.0324787990619181,-0.221230869579893,0.9,0.714990614705795,1.4598612
5,0.0754691728856152,1.36770804805053,0.72,0.633350773654231,0.7198708
6,0.0340908855559035,-0.125411797570512,0.88,0.673812801020609,1.4657823
7,0.0404359574824199,-0.0658185712696706,0.87,0.684302109673158,1.0047945
8,0.0410729822585319,-0.166744934126001,0.9,0.792424073024995,3.1286978
9,0.0457109710466548,0.0788709262168651,0.83,0.675232924978157,1.058839
10,0.10821605998249,1.65755669638656,0.59,0.595640954175077,0.8247605
11,0.0434002119938087,-0.174470110542135,0.89,0.550731775267831,2.1365624
12,0.0514298931277987,0.00122953731246187,0.84,0.632382866482972,2.0448545
13,0.0535613267640902,-0.108374327784502,0.86,0.686814896656835,1.4738566
14,0.119108203495439,1.53232029836542,0.71,0.691054103779534,0.8737791
15,0.12640953366895,1.85299584003382,0.67,0.66280624564587,0.7685223
16,0.129033794960389,1.90046935057462,0.61,0.601983217992423,0.7899188
17,0.0783766531601734,0.974804702559884,0.75,0.625367495968155,0.7202747
18,0.134221645400672,1.63176254386756,0.69,0.688503975698202,0.7227975
19,0.137864571119271,2.75344333780629,0.61,0.614789906530885,0.9337869
20,0.0410583299963075,-0.182523747189737,0.89,0.769620776849194,2.6193957
21,0.0460375853790725,-0.0774877707529501,0.86,0.732272073174518,1.109724
22,0.0685782756672901,1.3859137980806,0.74,0.582234543953277,0.7483357
23,0.0748609427704663,2.05184524568821,0.63,0.490605421358859,0.8255487
24,0.104031882238941,2.36195520121807,0.68,0.594152452187678,0.8329431
25,0.049236151744783,0.0883676306949057,0.84,0.816289300453882,2.0534427
