"metric","pair","test","p","effect","effect_name","p_holm"
"MSE","IP vs SR","paired t",0.000242082218366728,0.861359644086931,"Cohen_dz",0.00145249331020037
"MSE","IP vs CGP","Wilcoxon signed-rank",0.000468939512359608,0.70227039693215,"rank_biserial_r",0.00234469756179804
"MSE","IP vs BF","paired t",0.00145637112595406,0.718957039489838,"Cohen_dz",0.00582548450381622
"MSE","SR vs BF","paired t",0.0076266252172132,-0.582564849347143,"Cohen_dz",0.0228798756516396
"MSE","CGP vs BF","Wilcoxon signed-rank",0.0273583301561606,0.443964044037566,"rank_biserial_r",0.0547166603123213
"MSE","CGP vs SR","paired t",0.298051292014607,0.21273964190679,"Cohen_dz",0.298051292014607
"NLPD","IP vs CGP","Wilcoxon signed-rank",0.000252865664650941,0.734558691043973,"rank_biserial_r",0.00151719398790564
"NLPD","CGP vs BF","Wilcoxon signed-rank",0.000572996156858652,0.691507632228209,"rank_biserial_r",0.00286498078429326
"NLPD","IP vs SR","Wilcoxon signed-rank",0.0221907163701582,0.460108191093478,"rank_biserial_r",0.0887628654806329
"NLPD","SR vs BF","paired t",0.11028793575614,-0.331643902310141,"Cohen_dz",0.33086380726842
"NLPD","IP vs BF","paired t",0.171526309411498,0.281891869280894,"Cohen_dz",0.343052618822995
"NLPD","CGP vs SR","Wilcoxon signed-rank",0.686504181787592,0.0834114264555428,"rank_biserial_r",0.686504181787592
"Coverage","IP vs CGP","Wilcoxon signed-rank",0.0198530723884664,0.482631499909339,"rank_biserial_r",0.119118434330798
"Coverage","CGP vs BF","Wilcoxon signed-rank",0.0267368088406291,0.447851487625339,"rank_biserial_r",0.133684044203145
"Coverage","CGP vs SR","paired t",0.0465557366651393,0.419720317471968,"Cohen_dz",0.186222946660557
"Coverage","IP vs SR","paired t",0.52011102690267,-0.13055335239254,"Cohen_dz",1
"Coverage","IP vs BF","paired t",0.527693830127786,-0.128169609994489,"Cohen_dz",1
"Coverage","SR vs BF","paired t",0.673465115128497,0.0853221918486092,"Cohen_dz",1
"Width","SR vs BF","paired t",5.12662749066992e-12,-2.50495725287085,"Cohen_dz",3.07597649440195e-11
"Width","CGP vs SR","paired t",9.24499377797166e-06,1.11944321714234,"Cohen_dz",4.62249688898583e-05
"Width","IP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"Width","IP vs SR","paired t",1.8406823290448e-05,1.06449891327837,"Cohen_dz",5.5220469871344e-05
"Width","IP vs CGP","paired t",0.0139144449724424,-0.530665446435983,"Cohen_dz",0.0278288899448849
"Width","CGP vs BF","paired t",0.0220902617281017,-0.489456919880222,"Cohen_dz",0.0278288899448849
"Time","IP vs BF","paired t",4.23814609111011e-08,1.57345583881764,"Cohen_dz",2.54288765466606e-07
"Time","IP vs CGP","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","IP vs SR","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","CGP vs SR","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"Time","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
