"metric","pair","test","p","effect","effect_name","p_holm"
"MSE","CGP vs SR","paired t",6.58731396899195e-18,-4.62183911145558,"Cohen_dz",3.95238838139517e-17
"MSE","CGP vs BF","paired t",2.56844764006499e-17,-4.35575726553486,"Cohen_dz",1.28422382003249e-16
"MSE","IP vs BF","paired t",3.93334434960872e-16,-3.86345643298367,"Cohen_dz",1.57333773984349e-15
"MSE","IP vs SR","Wilcoxon signed-rank",1.47752354163661e-05,0.869093249843236,"rank_biserial_r",4.43257062490982e-05
"MSE","SR vs BF","Wilcoxon signed-rank",4.31651159613768e-05,0.820660808675501,"rank_biserial_r",8.63302319227537e-05
"MSE","IP vs CGP","Wilcoxon signed-rank",0.0672992995238676,0.368624691109979,"rank_biserial_r",0.0672992995238676
"NLPD","CGP vs SR","paired t",1.83469692491082e-15,-3.60800518423829,"Cohen_dz",1.10081815494649e-14
"NLPD","IP vs SR","Wilcoxon signed-rank",2.12540790317628e-05,0.852949102787324,"rank_biserial_r",6.53530273900653e-05
"NLPD","IP vs BF","Wilcoxon signed-rank",1.47752354163661e-05,0.869093249843236,"rank_biserial_r",6.53530273900653e-05
"NLPD","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",6.53530273900653e-05
"NLPD","IP vs CGP","Wilcoxon signed-rank",0.00215938408226768,0.616168279300622,"rank_biserial_r",0.00431876816453537
"NLPD","SR vs BF","paired t",0.168571572067951,-0.283928229702563,"Cohen_dz",0.168571572067951
"Coverage","CGP vs BF","paired t",3.20460784568057e-24,8.59682810331256,"Cohen_dz",1.92276470740834e-23
"Coverage","IP vs SR","Wilcoxon signed-rank",1.4696458058674e-05,0.869329298894669,"rank_biserial_r",6.45327010234683e-05
"Coverage","IP vs BF","Wilcoxon signed-rank",1.29766500214776e-05,0.874791356085416,"rank_biserial_r",6.45327010234683e-05
"Coverage","CGP vs SR","Wilcoxon signed-rank",1.29065402046937e-05,0.875029124974813,"rank_biserial_r",6.45327010234683e-05
"Coverage","SR vs BF","Wilcoxon signed-rank",0.0108606947836652,0.503958006450035,"rank_biserial_r",0.0217213895673305
"Coverage","IP vs CGP","Wilcoxon signed-rank",0.701337548491626,0.0688330530877763,"rank_biserial_r",0.701337548491626
"Width","CGP vs BF","paired t",1.40989168323915e-07,-1.46733524196665,"Cohen_dz",8.45935009943488e-07
"Width","IP vs BF","paired t",4.77303170732936e-07,-1.36282399718558,"Cohen_dz",2.38651585366468e-06
"Width","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"Width","IP vs CGP","paired t",0.00245945681178195,0.676556122298942,"Cohen_dz",0.00737837043534584
"Width","CGP vs SR","paired t",0.0429068924147244,-0.427593604865271,"Cohen_dz",0.0858137848294488
"Width","IP vs SR","paired t",0.414897249524155,-0.165935686680775,"Cohen_dz",0.414897249524155
"Time","IP vs CGP","paired t",3.86093050860309e-11,-2.27178155412735,"Cohen_dz",2.31655830516185e-10
"Time","IP vs BF","paired t",5.68955752683597e-10,1.98506045518624,"Cohen_dz",2.84477876341799e-09
"Time","IP vs SR","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"Time","CGP vs SR","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"Time","CGP vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
"Time","SR vs BF","Wilcoxon signed-rank",1.30706054780131e-05,0.874474632195206,"rank_biserial_r",5.22824219120523e-05
